Modelo,Fabricante,id
Aerospatiale (Nord) 262,Aerospatiale,1
Aerospatiale (Sud Aviation) Se.210 Caravelle,Aerospatiale,2
Aerospatiale SN.601 Corvette,Aerospatiale,3
Aerospatiale/Alenia ATR 42-300,Aerospatiale/Alenia,4
Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,5
Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,6
Aerospatiale/Alenia ATR 72,Aerospatiale/Alenia,7
Airbus A300,Airbus,8
Airbus A300-600,Airbus,9
Airbus A300-600ST Super Transporter / Beluga,Airbus,10
Airbus A310,Airbus,11
Airbus A318,Airbus,12
Airbus A319,Airbus,13
Airbus A319neo,Airbus,14
Airbus A320,Airbus,15
Airbus A320neo,Airbus,16
Airbus A321,Airbus,17
Airbus A321neo,Airbus,18
Airbus A330,Airbus,19
Airbus A330-200,Airbus,20
Airbus A330-300,Airbus,21
Airbus A330-700 Beluga XL,Airbus,22
Airbus A330-800neo,Airbus,23
Airbus A330-900neo,Airbus,24
Airbus A340,Airbus,25
Airbus A340-200,Airbus,26
Airbus A340-300,Airbus,27
Airbus A340-500,Airbus,28
Airbus A340-600,Airbus,29
Airbus A350,Airbus,30
Airbus A350-1000,Airbus,31
Airbus A350-900,Airbus,32
Airbus A380,Airbus,33
Airbus A380-800,Airbus,34
Antonov AN-12,Antonov,35
Antonov AN-124 Ruslan,Antonov,36
Antonov AN-140,Antonov,37
Antonov An-148,Antonov,38
Antonov An-158,Antonov,39
Antonov An-225 Mriya,Antonov,40
Antonov AN-24,Antonov,41
Antonov AN-26,Antonov,42
Antonov AN-28,Antonov,43
Antonov AN-30,Antonov,44
Antonov AN-32,Antonov,45
Antonov AN-72,Antonov,46
Avro RJ100,Avro,47
Avro RJ70,Avro,48
Avro RJ85,Avro,49
BAe 146,BAe,50
BAe 146-100,BAe,51
BAe 146-200,BAe,52
BAe 146-300,BAe,53
Beechcraft 1900,Beechcraft,54
Beechcraft Baron,Beechcraft,55
Beechcraft Baron / 55 Baron,Beechcraft,56
Bell 212,Bell,57
Boeing 707,Boeing,58
Boeing 717,Boeing,59
Boeing 720B,Boeing,60
Boeing 727,Boeing,61
Boeing 727-100,Boeing,62
Boeing 727-200,Boeing,63
Boeing 737,Boeing,64
Boeing 737 MAX 10,Boeing,65
Boeing 737 MAX 7,Boeing,66
Boeing 737 MAX 8,Boeing,67
Boeing 737 MAX 9,Boeing,68
Boeing 737-200,Boeing,69
Boeing 737-300,Boeing,70
